#,Date-Time (PDT),Temp   (°C),Host Connected,End of File
1,06/19/2024 13:46:58,,Logged,
2,06/24/2024 09:00:00,20.589,,
3,06/24/2024 09:15:00,20.611,,
4,06/24/2024 09:30:00,20.654,,
5,06/24/2024 09:45:00,20.686,,
6,06/24/2024 10:00:00,20.729,,
7,06/24/2024 10:15:00,20.772,,
8,06/24/2024 10:30:00,20.815,,
9,06/24/2024 10:45:00,20.740,,
10,06/24/2024 11:00:00,20.343,,
11,06/24/2024 11:15:00,19.710,,
12,06/24/2024 11:30:00,19.227,,
13,06/24/2024 11:45:00,18.916,,
14,06/24/2024 12:00:00,18.755,,
15,06/24/2024 12:15:00,18.713,,
16,06/24/2024 12:30:00,18.670,,
17,06/24/2024 12:45:00,18.595,,
18,06/24/2024 13:00:00,18.562,,
19,06/24/2024 13:15:00,18.498,,
20,06/24/2024 13:30:00,18.444,,
21,06/24/2024 13:45:00,18.423,,
22,06/24/2024 14:00:00,18.401,,
23,06/24/2024 14:15:00,18.412,,
24,06/24/2024 14:30:00,18.423,,
25,06/24/2024 14:45:00,18.466,,
26,06/24/2024 15:00:00,18.552,,
27,06/24/2024 15:15:00,19.163,,
28,06/24/2024 15:30:00,18.755,,
29,06/24/2024 15:45:00,18.530,,
30,06/24/2024 16:00:00,18.841,,
31,06/24/2024 16:15:00,19.678,,
32,06/24/2024 16:30:00,20.568,,
33,06/24/2024 16:45:00,21.190,,
34,06/24/2024 17:00:00,21.555,,
35,06/24/2024 17:15:00,21.930,,
36,06/24/2024 17:30:00,22.220,,
37,06/24/2024 17:45:00,22.091,,
38,06/24/2024 18:00:00,21.834,,
39,06/24/2024 18:15:00,21.555,,
40,06/24/2024 18:30:00,21.297,,
41,06/24/2024 18:45:00,21.083,,
42,06/24/2024 19:00:00,20.890,,
43,06/24/2024 19:15:00,20.697,,
44,06/24/2024 19:30:00,20.547,,
45,06/24/2024 19:45:00,20.386,,
46,06/24/2024 20:00:00,20.118,,
47,06/24/2024 20:15:00,19.914,,
48,06/24/2024 20:30:00,19.764,,
49,06/24/2024 20:45:00,19.656,,
50,06/24/2024 21:00:00,19.549,,
51,06/24/2024 21:15:00,19.453,,
52,06/24/2024 21:30:00,19.367,,
53,06/24/2024 21:45:00,19.281,,
54,06/24/2024 22:00:00,19.184,,
55,06/24/2024 22:15:00,19.077,,
56,06/24/2024 22:30:00,18.991,,
57,06/24/2024 22:45:00,18.873,,
58,06/24/2024 23:00:00,18.755,,
59,06/24/2024 23:15:00,18.648,,
60,06/24/2024 23:30:00,18.509,,
61,06/24/2024 23:45:00,18.380,,
62,06/25/2024 00:00:00,18.251,,
63,06/25/2024 00:15:00,18.112,,
64,06/25/2024 00:30:00,17.972,,
65,06/25/2024 00:45:00,17.833,,
66,06/25/2024 01:00:00,17.704,,
67,06/25/2024 01:15:00,17.565,,
68,06/25/2024 01:30:00,17.426,,
69,06/25/2024 01:45:00,17.297,,
70,06/25/2024 02:00:00,17.157,,
71,06/25/2024 02:15:00,17.018,,
72,06/25/2024 02:30:00,16.889,,
73,06/25/2024 02:45:00,16.771,,
74,06/25/2024 03:00:00,16.643,,
75,06/25/2024 03:15:00,16.514,,
76,06/25/2024 03:30:00,16.396,,
77,06/25/2024 03:45:00,16.289,,
78,06/25/2024 04:00:00,16.171,,
79,06/25/2024 04:15:00,16.053,,
80,06/25/2024 04:30:00,15.935,,
81,06/25/2024 04:45:00,15.827,,
82,06/25/2024 05:00:00,15.731,,
83,06/25/2024 05:15:00,15.624,,
84,06/25/2024 05:30:00,15.516,,
85,06/25/2024 05:45:00,15.420,,
86,06/25/2024 06:00:00,15.313,,
87,06/25/2024 06:15:00,14.959,,
88,06/25/2024 06:30:00,13.983,,
89,06/25/2024 06:45:00,12.642,,
90,06/25/2024 07:00:00,12.020,,
91,06/25/2024 07:15:00,11.913,,
92,06/25/2024 07:30:00,12.159,,
93,06/25/2024 07:45:00,12.471,,
94,06/25/2024 08:00:00,12.771,,
95,06/25/2024 08:15:00,12.964,,
96,06/25/2024 08:30:00,13.178,,
97,06/25/2024 08:45:00,14.015,,
98,06/25/2024 09:00:00,15.227,,
99,06/25/2024 09:15:00,16.728,,
100,06/25/2024 09:30:00,20.482,,
101,06/25/2024 09:45:00,22.767,,
102,06/25/2024 10:00:00,23.646,,
103,06/25/2024 10:15:00,26.070,,
104,06/25/2024 10:30:00,29.084,,
105,06/25/2024 10:45:00,26.306,,
106,06/25/2024 11:00:00,25.212,,
107,06/25/2024 11:15:00,24.987,,
108,06/25/2024 11:30:00,25.437,,
109,06/25/2024 11:45:00,26.520,,
110,06/25/2024 12:00:00,25.813,,
111,06/25/2024 12:15:00,24.365,,
112,06/25/2024 12:30:00,23.507,,
113,06/25/2024 12:45:00,24.086,,
114,06/25/2024 13:00:00,18.884,,
115,06/25/2024 13:15:00,17.640,,
