#,Date-Time (PDT),Temp   (°C),Host Connected,End of File
1,06/12/2024 13:45:00,14.219,,
2,06/12/2024 14:00:00,14.122,,
3,06/12/2024 14:15:00,14.058,,
4,06/12/2024 14:30:00,14.122,,
5,06/12/2024 14:45:00,14.122,,
6,06/12/2024 15:00:00,14.036,,
7,06/12/2024 15:15:00,14.101,,
8,06/12/2024 15:30:00,14.101,,
9,06/12/2024 15:45:00,14.004,,
10,06/12/2024 16:00:00,14.047,,
11,06/12/2024 16:15:00,14.079,,
12,06/12/2024 16:30:00,14.015,,
13,06/12/2024 16:45:00,14.004,,
14,06/12/2024 17:00:00,14.058,,
15,06/12/2024 17:15:00,14.026,,
16,06/12/2024 17:30:00,13.951,,
17,06/12/2024 17:45:00,14.036,,
18,06/12/2024 18:00:00,14.036,,
19,06/12/2024 18:15:00,13.951,,
20,06/12/2024 18:30:00,13.993,,
21,06/12/2024 18:45:00,14.036,,
22,06/12/2024 19:00:00,13.972,,
23,06/12/2024 19:15:00,13.983,,
24,06/12/2024 19:30:00,14.036,,
25,06/12/2024 19:45:00,13.983,,
26,06/12/2024 20:00:00,13.961,,
27,06/12/2024 20:15:00,14.026,,
28,06/12/2024 20:30:00,13.983,,
29,06/12/2024 20:45:00,13.961,,
30,06/12/2024 21:00:00,14.026,,
31,06/12/2024 21:15:00,13.993,,
32,06/12/2024 21:30:00,13.961,,
33,06/12/2024 21:45:00,14.036,,
34,06/12/2024 22:00:00,13.983,,
35,06/12/2024 22:15:00,14.004,,
36,06/12/2024 22:30:00,14.047,,
37,06/12/2024 22:45:00,13.983,,
38,06/12/2024 23:00:00,14.026,,
39,06/12/2024 23:15:00,14.058,,
40,06/12/2024 23:30:00,13.983,,
41,06/12/2024 23:45:00,14.058,,
42,06/13/2024 00:00:00,14.036,,
43,06/13/2024 00:15:00,14.015,,
44,06/13/2024 00:30:00,14.069,,
45,06/13/2024 00:45:00,14.026,,
46,06/13/2024 01:00:00,14.058,,
47,06/13/2024 01:15:00,14.090,,
48,06/13/2024 01:30:00,14.036,,
49,06/13/2024 01:45:00,14.101,,
50,06/13/2024 02:00:00,14.079,,
51,06/13/2024 02:15:00,14.069,,
52,06/13/2024 02:30:00,14.122,,
53,06/13/2024 02:45:00,14.069,,
54,06/13/2024 03:00:00,14.101,,
55,06/13/2024 03:15:00,14.122,,
56,06/13/2024 03:30:00,14.069,,
57,06/13/2024 03:45:00,14.122,,
58,06/13/2024 04:00:00,14.101,,
59,06/13/2024 04:15:00,14.101,,
60,06/13/2024 04:30:00,14.122,,
61,06/13/2024 04:45:00,14.069,,
62,06/13/2024 05:00:00,14.133,,
63,06/13/2024 05:15:00,14.122,,
64,06/13/2024 05:30:00,14.101,,
65,06/13/2024 05:45:00,14.154,,
66,06/13/2024 06:00:00,14.101,,
67,06/13/2024 06:15:00,14.133,,
68,06/13/2024 06:30:00,14.154,,
69,06/13/2024 06:45:00,14.101,,
70,06/13/2024 07:00:00,14.165,,
71,06/13/2024 07:15:00,14.133,,
72,06/13/2024 07:30:00,14.165,,
73,06/13/2024 07:45:00,14.187,,
74,06/13/2024 08:00:00,14.122,,
75,06/13/2024 08:15:00,14.187,,
76,06/13/2024 08:30:00,14.165,,
