tank,date,time,temp.C,pH.nbs,sal.psu,initials,notes
left,5/6/24,13:40,15.8,8.14,29.84,ash,Orion Star A325; calibrated pH with nbs and conductivity with standards today; pH slope =100.9%; avg cell cal conducitivity = 0.487
middle,5/6/24,13:40,14.5,8.16,29.74,ash,
right,5/6/24,13:40,14.5,8.18,29.8,ash,
outdoor_tray,5/6/24,13:40,12.4,7.89,29.02,ash,
left,5/16/24,11:30,15.3,8.17,29.99,ash,tank
left,5/16/24,11:30,15.5,8.11,29.82,ash,silo
left,5/16/24,11:30,15.5,8.11,29.6,ash,silo
middle,5/16/24,11:30,14.6,8.12,29.83,ash,tank
middle,5/16/24,11:30,14.5,8.1,29.87,ash,silo
middle,5/16/24,11:30,14.5,8.16,29.92,ash,silo
right,5/16/24,11:30,15,8.16,29.83,ash,tank
right,5/16/24,11:30,15.2,8.09,29.93,ash,silo
right,5/16/24,11:30,15,8.18,29.85,ash,silo
outdoor_tray,5/16/24,11:30,16.6,7.75,29.06,ash,large POGS
outdoor_tray,5/16/24,11:30,16.6,7.72,29.05,ash,large POGS
outdoor_tray,5/16/24,11:30,16.9,7.83,29.82,ash,small POGS
outdoor_tray,5/16/24,11:30,17,7.88,28.88,ash,small POGS
right,5/22/24,11:30,14.9,8.17,29.85,ash,tank
right,5/22/24,11:30,15,8.17,29.87,ash,silo
right,5/22/24,11:30,15,8.18,29.88,ash,silo
middle,5/22/24,11:30,14.5,8.16,29.86,ash,tank
middle,5/22/24,11:30,14.5,8.16,29.86,ash,silo
middle,5/22/24,11:30,14.5,8.16,29.89,ash,silo
left,5/22/24,11:30,14.5,8.16,29.92,ash,tank
left,5/22/24,11:30,14.5,8.16,29.9,ash,silo
left,5/22/24,11:30,14.5,8.16,29.9,ash,silo
outdoor_tray,5/22/24,11:30,14.5,7.72,28.69,ash,large POGS
outdoor_tray,5/22/24,11:30,14.5,7.73,28.64,ash,small POGS
left,5/29/24,13:30,15.2,8.08,29.87,ash,tank
left,5/29/24,13:30,15.2,8.09,29.85,ash,silo
left,5/29/24,13:30,15.1,8.1,29.87,ash,silo
outdoor_tray,5/29/24,13:30,14.7,7.87,29.01,ash,large POGS
outdoor_tray,5/29/24,13:30,14.7,7.87,29,ash,large POGS
outdoor_tray,5/29/24,13:30,14.6,7.74,28.95,ash,small POGS
outdoor_tray,5/29/24,13:30,14.6,7.75,28.94,ash,small POGS
left,6/4/24,12:00,14.8,8.17,29.74,ash,tank
outdoor_tray,6/4/24,12:00,15,7.87,28.7,ash,large POGS
outdoor_tray,6/4/24,12:00,14.8,7.73,28.67,ash,small POGS
upweller,6/4/24,12:00,15.7,7.83,28.3,ash,common holding tank for all oysters 
left,6/12/24,15:00,14.2,8.22,29.94,ash,indoor left tank
left,6/12/24,15:00,14.1,8.23,30,ash,indoor left tank
outdoor_tray,6/12/24,15:00,14.1,7.71,29.64,ash,right stack
outdoor_tray,6/12/24,15:00,15.5,7.73,29.55,ash,left stack
upweller,6/12/24,15:00,18.9,7.83,29.2,ash,effort C
upweller,6/12/24,15:00,18.8,7.83,29.16,ash,efforts BED
upweller,6/12/24,15:00,19,7.82,29.05,ash,effort F
