treatment,date,time,temp.C,pH.nbs,sal.psu,initials,notes
fresh,6/13/24,11:20,14.3,8.25,0.276,ash,
temperature,6/13/24,11:20,24.3,7.62,30.62,ash,
control,6/13/24,11:20,14.7,8.16,29.76,ash,"control = indoor tank; for all previous dates, control = left tank values"
fresh,6/5/24,12:00,15.7,7.97,0.114,ash,
temperature,6/5/24,12:00,24.5,7.67,29.75,ash,
temperature,5/22/24,12:00,23.5,7.78,30.31,ash,
fresh,5/22/24,12:00,14.5,8.31,0.181,ash,
temperature,5/16/24,14:45,22,7.62,29.35,ash,
fresh,5/16/24,14:45,13.9,8.31,0.057,ash,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
