 ,Area,Mean,Min,Max,Angle,Length
1,12.487,78.100,11.127,180.046,-27.150,57.193
2,8.325,88.869,9.540,233.490,52.671,38.018
3,12.014,80.687,5.149,176.612,80.910,55.063
4,0.520,37.541,13.673,65.000,-23.962,2.142
5,11.021,74.391,4.334,189.692,39.046,50.406
6,11.541,94.171,2.820,238.146,-47.504,52.799
7,9.176,111.385,3.227,220.351,111.251,42.003
8,6.102,77.479,9.434,148.000,18.153,27.923
9,11.257,132.289,45.226,232.421,-71.030,51.515
10,7.521,131.688,31.965,231.375,11.310,34.378
11,9.649,98.301,26.327,232.641,102.804,44.160
12,7.663,128.636,37.873,209.286,7.477,35.096
13,14.237,108.496,23.560,184.158,57.104,65.272
14,10.075,100.103,41.723,199.911,-27.292,46.009
15,13.670,68.299,0.909,201.872,-145.594,62.737
16,8.987,80.782,1.851,225.418,-53.191,41.018
17,8.987,99.089,22.717,213.943,174.531,41.074
18,6.386,89.836,30.357,157.597,-96.435,29.109
19,11.399,72.412,13.267,155.159,69.752,52.158
20,6.244,63.463,3.132,202.000,-22.452,28.474
21,7.332,124.796,1.667,185.902,97.447,33.558
22,6.102,117.781,16.373,194.189,5.398,27.744
23,10.170,113.029,5.811,199.396,80.582,46.517
24,8.325,120.179,50.111,209.373,-6.882,38.117
25,9.271,95.317,34.434,175.667,-109.179,42.369
26,5.865,77.642,3.312,204.573,-19.904,26.831
27,10.879,95.799,5.725,220.562,46.768,49.850
28,9.413,84.014,16.593,210.889,-34.897,42.957
29,6.953,54.070,0.918,114.305,-35.538,31.805
30,3.264,47.088,11.027,160.000,52.792,14.746
31,11.494,108.540,25.559,193.165,145.455,52.544
32,11.210,105.194,14.957,170.967,51.530,51.390
33,9.886,116.499,14.504,241.259,80.311,45.230
34,7.284,86.131,15.923,242.351,169.058,33.227
35,10.643,108.014,41.695,163.274,69.384,48.797
36,8.845,101.022,15.055,152.593,159.516,40.397
37,12.203,66.446,9.268,210.012,-103.279,55.865
38,8.798,61.786,15.293,171.957,-8.699,40.263
39,10.075,150.271,16.420,228.138,33.840,46.084
40,6.102,117.047,1.000,221.284,-64.036,27.819
41,9.129,92.989,0.333,187.752,117.633,41.733
42,7.048,93.545,1.901,200.982,21.010,32.150
43,10.784,97.891,15.374,229.014,-39.289,49.457
44,6.149,107.731,6.935,212.763,-123.936,28.049
45,9.791,83.584,8.816,166.812,87.221,44.855
46,6.149,94.733,9.922,229.605,-3.991,28.124
47,11.399,91.538,9.124,229.667,-151.085,52.177
48,10.122,96.480,12.124,249.667,-54.150,46.419
49,9.507,83.453,10.488,158.716,-8.898,43.587
50,7.663,80.586,18.600,159.476,-91.779,35.032
51,11.021,134.507,32.244,197.792,152.771,50.385
52,7.615,104.773,50.588,205.073,60.876,34.855
53,12.535,129.789,13.195,219.979,-105.617,57.359
54,8.514,108.347,10.966,222.312,-12.563,38.994
55,10.595,71.689,15.000,178.172,86.664,48.582
56,8.514,73.029,4.695,162.333,-3.835,39.017
57,7.615,52.871,0.115,234.205,-47.534,34.790
58,6.622,36.608,0.024,112.299,43.831,30.148
59,9.744,97.059,21.260,225.488,-87.207,44.638
60,8.230,75.842,10.066,203.562,6.633,37.660
61,11.257,84.499,5.265,177.522,13.392,51.644
62,8.751,68.549,2.208,184.178,-77.775,40.056
