 ,Area,Mean,Min,Max,Angle,Length
1,16.722,139.498,44.219,241.109,69.176,64.620
2,12.125,150.720,68.827,244.216,165.579,46.640
3,9.927,167.737,68.974,225.905,-28.301,38.110
4,6.929,159.983,64.333,239.975,59.704,26.606
5,13.724,125.564,40.790,189.780,-29.190,52.924
6,11.193,121.401,25.520,205.333,53.267,43.157
7,10.593,142.316,19.844,223.179,145.604,40.665
8,6.796,151.517,70.708,212.957,49.028,25.981
9,10.793,152.259,70.384,229.566,-146.113,41.665
10,7.662,151.730,48.782,221.263,126.064,29.376
11,12.392,146.711,41.117,219.406,-39.529,47.854
12,8.261,122.300,40.667,223.980,48.638,31.639
13,12.125,169.063,54.904,243.952,75.273,46.705
14,10.993,133.083,25.727,218.547,160.346,42.209
15,12.992,62.624,10.996,229.157,165.030,49.963
16,9.527,43.356,4.432,92.000,87.580,36.685
17,9.461,97.724,58.586,178.248,-176.753,36.453
18,6.662,122.603,46.666,209.430,-125.942,25.505
19,15.390,123.801,23.067,237.735,124.174,59.277
20,11.393,150.001,30.888,233.084,43.336,44.005
21,13.591,126.449,62.551,191.965,23.791,52.468
22,9.394,103.644,38.333,185.000,-58.686,36.255
23,13.924,137.293,34.980,240.287,106.514,53.575
24,10.593,123.239,45.676,212.159,26.241,40.864
25,11.792,115.605,9.862,220.001,96.196,45.436
26,6.929,116.694,34.375,187.327,-3.334,26.631
27,16.389,157.506,4.450,235.829,22.584,63.179
28,12.259,142.954,51.794,229.274,-75.735,47.140
29,15.057,165.947,20.219,239.006,69.952,57.975
30,8.594,108.932,19.714,230.706,158.866,32.931
31,17.122,136.256,57.467,249.163,-58.921,66.001
32,10.660,114.597,38.817,213.942,30.593,41.080
33,17.589,103.377,15.000,236.769,126.957,67.833
34,16.189,115.167,33.634,219.234,35.593,62.531
35,14.790,148.385,22.827,239.051,47.936,57.019
36,13.191,140.702,30.148,218.606,140.157,50.762
37,11.592,111.966,52.116,210.029,-139.219,44.655
38,8.994,119.032,36.165,245.184,-40.462,34.604
39,14.790,162.168,43.437,239.788,61.699,57.165
40,15.856,142.675,29.335,213.021,148.123,61.095
41,19.321,119.011,22.802,229.374,-81.842,74.576
42,11.126,99.919,17.613,187.550,14.287,42.883
43,14.324,84.436,31.456,204.729,48.411,55.217
44,0.266,82.250,78.000,86.000,-90.000,0.774
45,20.653,94.535,13.362,188.119,31.789,79.865
46,14.857,94.725,1.422,234.049,-56.023,57.271
47,13.858,110.695,37.638,237.957,92.490,53.480
48,8.728,101.503,24.664,183.478,8.881,33.440
49,17.056,151.546,30.565,242.664,-144.253,65.832
50,10.526,109.370,42.991,222.134,123.589,40.591
51,17.455,101.316,33.671,231.967,-106.909,67.445
52,15.790,80.236,19.260,217.714,-10.022,60.811
53,18.521,195.851,42.543,247.532,-97.458,71.587
54,13.391,117.564,32.967,205.733,-3.719,51.732
55,13.058,106.681,21.164,216.014,168.748,50.266
56,10.193,57.185,6.343,190.654,69.532,39.122
57,12.525,108.054,33.667,198.040,61.658,48.389
58,8.861,107.855,26.545,212.508,149.931,34.001
59,10.127,80.083,28.003,192.915,-28.095,38.915
60,7.928,61.804,18.119,162.944,42.241,30.333
61,12.192,102.296,32.862,186.002,103.349,46.955
62,9.327,111.359,9.000,191.211,15.038,35.814
63,16.323,93.558,20.636,169.426,172.700,62.974
64,12.992,106.142,16.838,180.065,-93.540,50.170
65,15.856,99.877,32.903,188.000,-121.212,61.265
66,11.992,79.637,11.424,151.922,-28.431,46.082
67,16.256,115.908,43.462,219.056,-55.394,62.719
68,12.725,107.450,16.008,188.000,19.957,49.154
69,19.854,167.167,62.342,239.068,66.371,76.632
70,13.791,123.865,24.712,210.000,171.085,53.299
71,20.986,76.203,8.693,194.934,25.503,80.932
72,11.859,69.115,19.428,222.956,-59.370,45.595
73,16.256,116.275,5.778,219.438,-1.650,62.748
74,11.259,97.481,29.287,162.973,-78.690,43.432
75,15.990,138.465,48.085,211.850,139.918,61.735
76,14.124,134.740,19.966,235.033,57.591,54.421
77,12.459,99.810,12.036,174.097,116.565,47.904
78,7.129,115.849,25.987,213.874,27.051,27.243
79,15.190,128.898,37.361,221.940,-163.639,58.644
80,12.259,127.121,31.333,231.506,116.285,47.212
81,20.720,150.703,44.112,231.318,-22.762,80.056
82,14.391,146.690,34.101,224.992,80.100,55.547
83,14.191,83.093,26.909,186.956,104.496,54.653
84,9.794,96.723,30.808,167.667,15.083,37.693
85,15.257,92.148,25.526,199.642,84.464,58.867
86,10.860,96.459,25.556,186.630,-3.532,41.894
87,16.856,113.029,29.075,222.862,122.174,64.953
88,6.729,109.841,27.900,197.258,28.106,25.751
89,19.054,96.938,25.189,197.056,35.584,73.633
90,11.193,123.499,29.556,245.074,128.177,43.013
91,19.254,118.539,31.398,201.889,-0.796,74.344
92,11.259,104.191,25.607,213.119,-88.977,43.370
93,12.392,87.484,32.502,223.143,56.482,47.678
94,9.194,120.600,29.794,199.595,-30.317,35.283
95,17.255,114.030,46.577,240.781,39.806,66.526
96,14.191,167.372,46.000,243.041,135.382,54.756
97,13.058,113.968,30.357,242.006,140.835,50.269
98,10.926,96.483,24.268,217.628,62.176,42.028
99,13.858,169.684,2.802,237.725,178.063,53.460
100,10.726,128.551,33.029,223.500,-89.284,41.302
101,18.988,120.520,28.112,244.617,-108.881,73.381
102,13.191,128.644,31.669,233.742,-19.263,50.856
103,13.258,133.688,51.667,255.000,165.683,51.146
