 ,Area,Mean,Min,Max,Angle,Length
1,26.929,124.804,68.622,222.667,12.639,67.302
2,17.266,114.129,55.188,188.890,-82.020,43.003
3,31.523,107.851,52.683,222.540,-42.546,78.873
4,16.791,109.805,34.103,221.705,50.404,41.838
5,21.543,76.772,29.447,178.000,-65.908,53.626
6,16.633,69.680,44.288,163.000,19.654,41.417
7,28.038,104.706,36.314,247.333,-28.455,70.168
8,19.009,85.076,37.319,251.000,53.514,47.523
9,22.336,107.177,9.417,228.333,-31.527,55.564
10,13.465,105.272,63.302,182.333,53.267,33.273
11,20.751,145.957,60.875,235.099,115.577,51.626
12,15.207,143.953,82.736,223.000,21.689,37.693
13,30.890,66.153,10.680,247.715,89.114,77.222
14,21.068,72.697,42.140,212.702,-7.824,52.629
15,25.504,105.024,47.925,209.000,-32.994,63.587
16,22.177,100.359,41.823,198.667,49.667,55.344
17,25.187,110.624,47.574,244.667,91.450,62.905
18,17.900,113.514,43.637,226.298,3.066,44.640
19,25.504,130.101,63.853,216.667,-15.945,63.745
20,17.425,147.192,62.069,207.080,78.896,43.399
21,35.642,87.714,32.190,231.000,74.722,89.118
22,20.751,58.356,34.753,208.333,-18.435,51.603
23,19.643,132.706,45.768,227.521,75.399,48.943
24,13.148,131.402,69.267,180.324,-24.386,32.774
25,25.662,107.933,59.508,225.000,-5.001,63.924
26,16.158,89.894,49.003,179.667,-87.166,40.248
27,24.712,80.956,48.272,177.333,-23.587,61.669
28,19.643,87.093,53.259,197.667,72.451,48.840
29,18.534,121.184,69.154,210.323,37.659,46.253
30,13.940,109.749,69.156,206.667,-65.501,34.553
31,33.107,108.897,48.373,215.333,70.606,82.702
32,18.059,100.356,46.413,210.333,-170.287,44.821
33,27.405,96.185,44.488,211.000,91.998,68.499
34,16.950,93.737,48.179,210.000,-0.541,42.190
35,32.632,92.530,50.173,221.114,72.362,81.439
36,22.336,71.225,50.318,172.667,-26.200,55.891
37,25.187,111.903,56.776,218.667,115.432,63.022
38,19.326,111.611,30.660,197.667,26.565,48.058
39,29.622,93.076,15.773,201.977,52.638,74.111
40,19.326,97.612,36.059,212.667,-38.956,48.111
41,25.979,124.958,69.644,197.000,91.757,64.905
42,18.851,112.687,55.949,176.000,5.856,46.811
43,25.187,135.091,50.388,219.000,-6.180,62.852
44,20.751,122.110,46.667,210.169,94.837,51.926
45,27.880,86.013,46.587,217.849,17.295,69.614
46,19.167,74.450,44.738,221.000,-68.552,47.893
47,31.206,105.134,61.660,202.350,65.266,78.001
48,18.217,95.804,44.511,208.000,-28.811,45.423
49,17.108,137.187,71.523,209.333,65.821,42.755
50,11.881,142.492,97.337,207.529,-20.647,29.347
51,28.672,102.503,52.444,208.333,88.727,71.659
52,18.217,105.573,56.559,191.000,-7.063,45.318
53,24.078,139.849,52.461,226.333,11.459,60.103
54,21.068,140.992,32.350,213.000,-73.757,52.648
55,32.632,79.154,47.316,227.448,22.942,81.684
56,20.118,69.636,42.111,201.333,-80.838,49.990
57,35.483,128.350,51.280,249.773,115.187,88.844
58,19.484,91.605,49.484,216.333,23.199,48.498
59,22.336,93.464,49.854,210.667,24.004,55.768
60,16.474,93.430,53.122,216.313,-70.684,40.909
61,25.662,103.239,43.536,222.214,45.503,64.169
62,17.108,117.933,48.188,206.000,-38.157,42.518
63,19.643,157.359,61.744,225.194,24.482,48.980
