tag	max.length.mm	date
UW-SR1	15.34	20250604
UW-SR1	19.67	20250604
UW-SR1	21.75	20250604
UW-SR1	19.15	20250604
UW-SR1	20.26	20250604
UW-SR1	19.71	20250604
UW-SR1	15.12	20250604
UW-SR1	18.02	20250604
UW-SR1	13.3	20250604
UW-SR1	17.03	20250604
UW-SR1	16.87	20250604
UW-SR1	21.8	20250604
UW-SR1	20.92	20250604
UW-SR1	15.71	20250604
UW-SR1	21.21	20250604
UW-SR1	16.45	20250604
UW-SR1	19.86	20250604
UW-SR1	16.29	20250604
UW-SR1	16.46	20250604
UW-SR1	17.2	20250604
UW-SR2	17.85	20250604
UW-SR2	20.95	20250604
UW-SR2	24.08	20250604
UW-SR2	20.68	20250604
UW-SR2	15.4	20250604
UW-SR2	19.5	20250604
UW-SR2	18.43	20250604
UW-SR2	19.83	20250604
UW-SR2	18.64	20250604
UW-SR2	19.06	20250604
UW-SR2	16.55	20250604
UW-SR2	21.86	20250604
UW-SR2	18.56	20250604
UW-SR2	17.55	20250604
UW-SR2	17.25	20250604
UW-SR2	14.55	20250604
UW-SR2	17.31	20250604
UW-SR2	18.26	20250604
UW-SR2	15.43	20250604
UW-SR2	16.79	20250604
UW-SR3	22.93	20250604
UW-SR3	21.63	20250604
UW-SR3	19.59	20250604
UW-SR3	19.41	20250604
UW-SR3	22.03	20250604
UW-SR3	18.82	20250604
UW-SR3	20.4	20250604
UW-SR3	13.58	20250604
UW-SR3	15.38	20250604
UW-SR3	17.56	20250604
UW-SR3	19.29	20250604
UW-SR3	19.73	20250604
UW-SR3	15.55	20250604
UW-SR3	20.53	20250604
UW-SR3	17.99	20250604
UW-SR3	17.63	20250604
UW-SR3	16.29	20250604
UW-SR3	21.3	20250604
UW-SR3	19.16	20250604
UW-SR3	17.34	20250604
UW-SR3	19.46	20250604
UW-SR4	20.79	20250604
UW-SR4	20.33	20250604
UW-SR4	21.23	20250604
UW-SR4	19.39	20250604
UW-SR4	21.27	20250604
UW-SR4	17.65	20250604
UW-SR4	21.23	20250604
UW-SR4	20.47	20250604
UW-SR4	15.65	20250604
UW-SR4	19.26	20250604
UW-SR4	18.09	20250604
UW-SR4	17.43	20250604
UW-SR4	14.66	20250604
UW-SR4	18.78	20250604
UW-SR4	18.48	20250604
UW-SR4	16.62	20250604
UW-SR4	19.27	20250604
UW-SR4	19.78	20250604
UW-SR4	22.53	20250604
UW-SR4	17.69	20250604
UW-SR5	16.27	20250604
UW-SR5	21.17	20250604
UW-SR5	20.53	20250604
UW-SR5	20.28	20250604
UW-SR5	14.86	20250604
UW-SR5	16.83	20250604
UW-SR5	14.27	20250604
UW-SR5	16.79	20250604
UW-SR5	16.93	20250604
UW-SR5	17.9	20250604
UW-SR5	15.9	20250604
UW-SR5	14.12	20250604
UW-SR5	15.86	20250604
UW-SR5	16.61	20250604
UW-SR5	14.76	20250604
UW-SR5	17.87	20250604
UW-SR5	14.19	20250604
UW-SR5	13.77	20250604
UW-SR5	14.37	20250604
UW-SR5	15.35	20250604
UW-SR6	22.28	20250604
UW-SR6	18.68	20250604
UW-SR6	23.57	20250604
UW-SR6	23.02	20250604
UW-SR6	18.51	20250604
UW-SR6	19.08	20250604
UW-SR6	17.81	20250604
UW-SR6	21.04	20250604
UW-SR6	17.32	20250604
UW-SR6	17.99	20250604
UW-SR6	19.6	20250604
UW-SR6	17.78	20250604
UW-SR6	19.72	20250604
UW-SR6	21.29	20250604
UW-SR6	16.05	20250604
UW-SR7	23.78	20250604
UW-SR7	20.53	20250604
UW-SR7	23.83	20250604
UW-SR7	19.74	20250604
UW-SR7	18.01	20250604
UW-SR7	19.61	20250604
UW-SR7	22	20250604
