date,bag,oyster,treatment,Predicted_Volume_Poly
20250528,G100,1,Temperature,14745.51641177383
20250528,G100,2,Temperature,29069.758284521016
20250528,G100,3,Temperature,18742.814733116462
20250528,G100,4,Temperature,11050.75462470692
20250528,G100,5,Temperature,30573.640611815757
20250528,G100,6,Temperature,43864.50574832309
20250528,G100,7,Temperature,38375.26929252067
20250528,G100,8,Temperature,19302.29870552314
20250528,G100,9,Temperature,20509.825294339935
20250528,G100,10,Temperature,26418.162956324566
20250528,G100,11,Temperature,26855.136681106225
20250528,G100,12,Temperature,40058.674233820166
20250528,G100,13,Temperature,24832.672639653607
20250528,G100,14,Temperature,40339.99919059532
20250528,G100,15,Temperature,36398.31770853582
20250528,G100,16,Temperature,25361.5624579643
20250528,G100,17,Temperature,25930.454503308723
20250528,G100,18,Temperature,23864.151871969687
20250528,G100,19,Temperature,17243.19149760177
20250528,G100,20,Temperature,21954.1066280801
20250528,G100,21,Temperature,25881.95073892099
20250528,G100,22,Temperature,18495.60388282423
20250528,G100,23,Temperature,21723.67604185006
20250528,G100,24,Temperature,22629.990155623913
20250528,G100,25,Temperature,27448.879697987613
20250528,G100,26,Temperature,23694.74522588312
20250528,G100,27,Temperature,30333.757755162762
20250528,G100,28,Temperature,32170.935012026304
20250528,G100,29,Temperature,50649.26156648447
20250528,G100,30,Temperature,22094.554804922012
20250528,G100,31,Temperature,20229.534592689037
20250528,G100,32,Temperature,22784.703509771713
20250528,G100,33,Temperature,28065.163200839543
20250528,G100,34,Temperature,29528.333305269254
20250528,G100,35,Temperature,25249.462753812462
20250528,G100,36,Temperature,11978.07111803319
20250528,G100,37,Temperature,31571.584057345128
20250528,G100,38,Temperature,15284.102834616364
20250528,G100,39,Temperature,21553.48332422826
20250528,G098,1,Temperature,46882.06374448315
20250528,G098,2,Temperature,30906.564142836105
20250528,G098,3,Temperature,11242.42115666943
20250528,G098,4,Temperature,23867.280005661436
20250528,G098,5,Temperature,16056.679668902589
20250528,G098,6,Temperature,10805.24795040082
20250528,G098,7,Temperature,11766.363083692931
20250528,G098,8,Temperature,38986.34592517391
20250528,G098,9,Temperature,18283.81839091382
20250528,G098,10,Temperature,27150.596995527805
20250528,G098,11,Temperature,49878.73212562591
20250528,G098,12,Temperature,26304.12035445153
20250528,G098,13,Temperature,15657.016815106907
20250528,G098,14,Temperature,25853.097597224554
20250528,G098,15,Temperature,37001.07774722974
20250528,G098,16,Temperature,28711.45150041024
20250528,G098,17,Temperature,19707.42754465463
20250528,G098,18,Temperature,35989.0236018501
20250528,G098,19,Temperature,32021.59748360025
20250528,G098,20,Temperature,39895.04420230372
20250528,G098,21,Temperature,23910.368814366073
20250528,G098,22,Temperature,34217.76707553437
20250528,G098,23,Temperature,6021.318788914403
20250528,G098,24,Temperature,29008.751238964433
20250528,G098,25,Temperature,15376.403269507686
20250528,G098,26,Temperature,21681.67629300547
20250528,G098,27,Temperature,12475.05190059806
20250528,G098,28,Temperature,49740.260420151426
20250528,G098,29,Temperature,31562.73842965973
20250528,G098,30,Temperature,15765.44262811949
20250528,G098,31,Temperature,20777.44438193631
20250528,G098,32,Temperature,19655.312927995536
20250528,G098,33,Temperature,29334.541450395373
20250528,G098,34,Temperature,29246.882979233313
20250528,G098,35,Temperature,17102.939953604284
20250528,G098,36,Temperature,26633.86053028914
20250528,G098,37,Temperature,26631.181611519707
20250528,G098,38,Temperature,39349.55582038404
20250528,G098,39,Temperature,50175.30241744218
20250528,G098,40,Temperature,21074.286082520586
20250528,G098,41,Temperature,26628.061624296675
20250528,G098,42,Temperature,37287.415289535726
20250528,G098,43,Temperature,10088.960973226265
20250528,G098,44,Temperature,33423.8231243364
20250528,G098,45,Temperature,17538.262740877093
20250528,G098,46,Temperature,56963.33672242794
20250528,G098,47,Temperature,32781.7860623712
20250528,G098,48,Temperature,19869.53926142314
20250528,G096,1,Control,17908.94412525633
20250528,G096,2,Control,16399.53978244784
20250528,G096,3,Control,11752.431261998527
20250528,G096,4,Control,14843.619196975933
20250528,G096,5,Control,17885.574749798245
20250528,G096,6,Control,20769.660733613247
20250528,G096,7,Control,11861.057705842597
20250528,G096,8,Control,11371.951535028213
20250528,G096,9,Control,16753.767403891874
20250528,G096,10,Control,10027.688909854845
20250528,G096,11,Control,14263.069248196605
20250528,G096,12,Control,10156.323357229852
20250528,G096,13,Control,12615.554251553005
20250528,G096,14,Control,19068.50667949958
20250528,G096,15,Control,16883.597193543097
20250528,G096,16,Control,13479.370939150436
20250528,G096,17,Control,14631.712443622238
20250528,G096,18,Control,9762.496384342503
20250528,G096,19,Control,13303.029696544645
20250528,G096,20,Control,12962.461842703702
20250528,G096,21,Control,14942.698488368107
20250528,G096,22,Control,14265.804121082763
20250528,G096,23,Control,9532.760296350601
20250528,G096,24,Control,13600.774695212747
20250528,G096,25,Control,16227.192117640105
20250528,G096,26,Control,10700.065247032162
20250528,G096,27,Control,16167.445166545966
20250528,G096,28,Control,12909.81657926535
20250528,G096,29,Control,17608.954399160168
20250528,G096,30,Control,14528.75346019444
20250528,G096,31,Control,19212.270589823805
20250528,G096,32,Control,13682.802822760985
20250528,G096,33,Control,11922.85095348866
20250528,G096,34,Control,15435.572749513665
20250528,G096,35,Control,11957.783779491258
20250528,G096,36,Control,15724.2524129583
20250528,G096,37,Control,12382.67075568781
20250528,G096,38,Control,18098.666957663
20250528,G096,39,Control,17116.35177145929
20250528,G096,40,Control,14589.97412043609
20250528,G096,41,Control,18751.490858782938
20250528,G096,42,Control,14689.12128525275
20250528,G096,43,Control,14959.175935286392
20250528,G096,44,Control,14506.44261346986
20250528,G096,45,Control,18440.685315489536
20250528,G096,46,Control,15217.629608941406
20250528,G096,47,Control,24105.590649171158
20250528,G096,48,Control,18071.679680199555
20250528,G096,49,Control,16426.679448661544
20250528,G096,50,Control,7377.994135868079
20250528,G096,51,Control,12025.877979953806
20250528,G094,1,Control,36217.99215905025
20250528,G094,2,Control,33669.28348816097
20250528,G094,3,Control,25471.451023521124
20250528,G094,4,Control,43267.85439851787
20250528,G094,5,Control,42989.10711717955
20250528,G094,6,Control,38408.85456940187
20250528,G094,7,Control,29613.213807014177
20250528,G094,8,Control,22876.28923544306
20250528,G094,9,Control,27347.56955424408
20250528,G094,10,Control,39347.88256125407
20250528,G094,11,Control,28552.843520054364
20250528,G094,12,Control,21184.40719645953
20250528,G094,13,Control,25520.146183954177
20250528,G094,14,Control,48655.045446901895
20250528,G094,15,Control,17412.171899716657
20250528,G094,16,Control,34545.93457716447
20250528,G094,17,Control,34853.91183996856
20250528,G094,18,Control,28828.119773531696
20250528,G094,19,Control,43728.16595687029
20250528,G094,20,Control,45502.86369120689
20250528,G094,21,Control,50691.83881568791
20250528,G094,22,Control,25805.930415000123
20250528,G094,23,Control,25920.17210393089
20250528,G094,24,Control,46622.91394782653
20250528,G094,25,Control,28697.78547930679
20250528,G094,26,Control,39399.47718608951
20250528,G094,27,Control,37479.5477612668
20250528,G094,28,Control,33535.28250868043
20250528,G094,29,Control,34569.75212172741
20250528,G094,30,Control,32077.94266428805
20250528,G094,31,Control,13983.570758807346
20250528,G094,32,Control,32174.54199731652
20250528,G094,33,Control,31803.081603537135
20250528,G094,34,Control,39932.925206626205
20250528,G094,35,Control,17607.840809597394
